region,bg_code,berufsgruppe,median_entgelt
Bayern,817,Nicht ärztliche Therapie und Heilkunde,3.360
Bayern,821,Altenpflege,3.666
Bayern,822,"Ernährungs-,Gesundheitsberatung,Wellness",5.147
Bayern,825,"Medizin-, Orthopädie- und Rehatechnik",3.469
Bayern,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.190
Bayern,832,Hauswirtschaft und Verbraucherberatung,2.934
Bayern,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",5.144
Bayern,844,Lehrtätigk. außerschul.Bildungseinricht.,4.899
Bayern,912,Geisteswissenschaften,4.154
Bayern,913,Gesellschaftswissenschaften,4.848
Bayern,921,Werbung und Marketing,5.485
Bayern,924,Redaktion und Journalismus,4.759
Bayern,932,"Innenarchitektur, Raumausstattung",3.546
Berlin,121,Gartenbau,3.150
Berlin,221,"Kunststoff,Kautschukherstell.,verarbeit",2.773
Berlin,231,Papier- und Verpackungstechnik,None
Berlin,232,Technische Mediengestaltung,4.088
Berlin,261,Mechatronik und Automatisierungstechnik,4.220
Berlin,262,Energietechnik,4.162
Berlin,263,Elektrotechnik,4.596
Berlin,271,Technische Forschung und Entwicklung,6.216
Berlin,273,"Technische Produktionsplanung,-steuerung",5.445
Berlin,282,Textilverarbeitung,2.885
Berlin,292,Lebensmittel- u. Genussmittelherstellung,3.110
Berlin,311,"Bauplanung u. -überwachung, Architektur",4.935
Berlin,411,Mathematik und Statistik,5.832
Berlin,431,Informatik,5.995
Berlin,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",5.703
Berlin,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",5.787
Berlin,434,Softwareentwicklung und Programmierung,6.594
Berlin,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.843
Berlin,516,Kaufleute - Verkehr und Logistik,3.741
Berlin,521,Fahrzeugführung im Straßenverkehr,2.889
Berlin,525,Bau- und Transportgeräteführung,3.305
Berlin,541,Reinigung,2.454
Berlin,611,Einkauf und Vertrieb,5.115
Berlin,612,Handel,4.352
Berlin,621,Verkauf (ohne Produktspezialisierung),3.165
Berlin,623,Verkauf von Lebensmitteln,2.615
Berlin,632,Hotellerie,2.834
Berlin,633,Gastronomie,2.477
Berlin,634,"Veranstaltungsservice, -management",3.875
Berlin,711,Geschäftsführung und Vorstand,7.450
