region,bg_code,berufsgruppe,median_entgelt
Niedersachsen,844,Lehrtätigk. außerschul.Bildungseinricht.,4.206
Niedersachsen,912,Geisteswissenschaften,None
Niedersachsen,913,Gesellschaftswissenschaften,4.514
Niedersachsen,921,Werbung und Marketing,4.249
Niedersachsen,924,Redaktion und Journalismus,4.568
Niedersachsen,932,"Innenarchitektur, Raumausstattung",3.064
Nordrhein-Westfalen,121,Gartenbau,3.284
Nordrhein-Westfalen,221,"Kunststoff,Kautschukherstell.,verarbeit",3.162
Nordrhein-Westfalen,231,Papier- und Verpackungstechnik,3.802
Nordrhein-Westfalen,232,Technische Mediengestaltung,3.607
Nordrhein-Westfalen,261,Mechatronik und Automatisierungstechnik,4.451
Nordrhein-Westfalen,262,Energietechnik,4.294
Nordrhein-Westfalen,263,Elektrotechnik,4.499
Nordrhein-Westfalen,271,Technische Forschung und Entwicklung,6.626
Nordrhein-Westfalen,273,"Technische Produktionsplanung,-steuerung",5.383
Nordrhein-Westfalen,282,Textilverarbeitung,2.855
Nordrhein-Westfalen,292,Lebensmittel- u. Genussmittelherstellung,2.983
Nordrhein-Westfalen,311,"Bauplanung u. -überwachung, Architektur",5.543
Nordrhein-Westfalen,411,Mathematik und Statistik,6.249
Nordrhein-Westfalen,431,Informatik,5.471
Nordrhein-Westfalen,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",5.822
Nordrhein-Westfalen,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",5.878
Nordrhein-Westfalen,434,Softwareentwicklung und Programmierung,5.574
Nordrhein-Westfalen,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.956
Nordrhein-Westfalen,516,Kaufleute - Verkehr und Logistik,4.204
Nordrhein-Westfalen,521,Fahrzeugführung im Straßenverkehr,3.111
Nordrhein-Westfalen,525,Bau- und Transportgeräteführung,3.587
Nordrhein-Westfalen,541,Reinigung,2.607
Nordrhein-Westfalen,611,Einkauf und Vertrieb,5.406
Nordrhein-Westfalen,612,Handel,3.902
Nordrhein-Westfalen,621,Verkauf (ohne Produktspezialisierung),3.142
Nordrhein-Westfalen,623,Verkauf von Lebensmitteln,2.531
Nordrhein-Westfalen,632,Hotellerie,2.828
Nordrhein-Westfalen,633,Gastronomie,2.537
Nordrhein-Westfalen,634,"Veranstaltungsservice, -management",3.676
Nordrhein-Westfalen,711,Geschäftsführung und Vorstand,7.550
Nordrhein-Westfalen,713,Unternehmensorganisation und -strategie,5.425
Nordrhein-Westfalen,714,Büro und Sekretariat,3.922
Nordrhein-Westfalen,715,Personalwesen und -dienstleistung,5.080
Nordrhein-Westfalen,721,Versicherungs- u. Finanzdienstleistungen,5.691
Nordrhein-Westfalen,722,"Rechnungswesen, Controlling und Revision",5.179
Nordrhein-Westfalen,723,Steuerberatung,3.977
Nordrhein-Westfalen,732,Verwaltung,4.536
Nordrhein-Westfalen,733,Medien-Dokumentations-Informationsdienst,4.327
Nordrhein-Westfalen,811,Arzt- und Praxishilfe,2.974
Nordrhein-Westfalen,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.332
Nordrhein-Westfalen,817,Nicht ärztliche Therapie und Heilkunde,3.350
Nordrhein-Westfalen,821,Altenpflege,3.957
Nordrhein-Westfalen,822,"Ernährungs-,Gesundheitsberatung,Wellness",4.525
Nordrhein-Westfalen,825,"Medizin-, Orthopädie- und Rehatechnik",3.314
Nordrhein-Westfalen,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.232
Nordrhein-Westfalen,832,Hauswirtschaft und Verbraucherberatung,2.827
Nordrhein-Westfalen,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",5.001
Nordrhein-Westfalen,844,Lehrtätigk. außerschul.Bildungseinricht.,4.667
Nordrhein-Westfalen,912,Geisteswissenschaften,5.197
Nordrhein-Westfalen,913,Gesellschaftswissenschaften,4.201
Nordrhein-Westfalen,921,Werbung und Marketing,4.530
Nordrhein-Westfalen,924,Redaktion und Journalismus,4.705
Nordrhein-Westfalen,932,"Innenarchitektur, Raumausstattung",3.374
Rheinland-Pfalz,121,Gartenbau,3.235
Rheinland-Pfalz,221,"Kunststoff,Kautschukherstell.,verarbeit",3.491
Rheinland-Pfalz,231,Papier- und Verpackungstechnik,3.703
Rheinland-Pfalz,232,Technische Mediengestaltung,3.499
Rheinland-Pfalz,261,Mechatronik und Automatisierungstechnik,4.307
Rheinland-Pfalz,262,Energietechnik,4.105
Rheinland-Pfalz,263,Elektrotechnik,4.330
Rheinland-Pfalz,271,Technische Forschung und Entwicklung,6.575
Rheinland-Pfalz,273,"Technische Produktionsplanung,-steuerung",5.750
Rheinland-Pfalz,282,Textilverarbeitung,2.795
Rheinland-Pfalz,292,Lebensmittel- u. Genussmittelherstellung,3.124
Rheinland-Pfalz,311,"Bauplanung u. -überwachung, Architektur",5.555
Rheinland-Pfalz,411,Mathematik und Statistik,None
Rheinland-Pfalz,431,Informatik,5.436
Rheinland-Pfalz,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",5.093
Rheinland-Pfalz,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",5.562
Rheinland-Pfalz,434,Softwareentwicklung und Programmierung,5.239
Rheinland-Pfalz,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.985
Rheinland-Pfalz,516,Kaufleute - Verkehr und Logistik,4.290
Rheinland-Pfalz,521,Fahrzeugführung im Straßenverkehr,3.175
Rheinland-Pfalz,525,Bau- und Transportgeräteführung,3.577
Rheinland-Pfalz,541,Reinigung,2.474
Rheinland-Pfalz,611,Einkauf und Vertrieb,5.233
Rheinland-Pfalz,612,Handel,3.693
Rheinland-Pfalz,621,Verkauf (ohne Produktspezialisierung),3.119
Rheinland-Pfalz,623,Verkauf von Lebensmitteln,2.461
Rheinland-Pfalz,632,Hotellerie,2.756
Rheinland-Pfalz,633,Gastronomie,2.488
Rheinland-Pfalz,634,"Veranstaltungsservice, -management",3.546
Rheinland-Pfalz,711,Geschäftsführung und Vorstand,7.550
Rheinland-Pfalz,713,Unternehmensorganisation und -strategie,5.031
Rheinland-Pfalz,714,Büro und Sekretariat,3.642
Rheinland-Pfalz,715,Personalwesen und -dienstleistung,5.247
Rheinland-Pfalz,721,Versicherungs- u. Finanzdienstleistungen,5.239
Rheinland-Pfalz,722,"Rechnungswesen, Controlling und Revision",4.977
Rheinland-Pfalz,723,Steuerberatung,3.584
Rheinland-Pfalz,732,Verwaltung,4.339
Rheinland-Pfalz,733,Medien-Dokumentations-Informationsdienst,4.536
Rheinland-Pfalz,811,Arzt- und Praxishilfe,2.946
Rheinland-Pfalz,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.338
Rheinland-Pfalz,817,Nicht ärztliche Therapie und Heilkunde,3.296
Rheinland-Pfalz,821,Altenpflege,3.761
Rheinland-Pfalz,822,"Ernährungs-,Gesundheitsberatung,Wellness",4.722
Rheinland-Pfalz,825,"Medizin-, Orthopädie- und Rehatechnik",3.447
Rheinland-Pfalz,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.286
Rheinland-Pfalz,832,Hauswirtschaft und Verbraucherberatung,2.786
Rheinland-Pfalz,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.996
Rheinland-Pfalz,844,Lehrtätigk. außerschul.Bildungseinricht.,4.343
Rheinland-Pfalz,912,Geisteswissenschaften,None
Rheinland-Pfalz,913,Gesellschaftswissenschaften,3.821
Rheinland-Pfalz,921,Werbung und Marketing,4.726
Rheinland-Pfalz,924,Redaktion und Journalismus,5.635
Rheinland-Pfalz,932,"Innenarchitektur, Raumausstattung",3.213
Saarland,121,Gartenbau,3.283
Saarland,221,"Kunststoff,Kautschukherstell.,verarbeit",3.458
Saarland,231,Papier- und Verpackungstechnik,None
Saarland,232,Technische Mediengestaltung,3.536
Saarland,261,Mechatronik und Automatisierungstechnik,4.398
Saarland,262,Energietechnik,4.318
Saarland,263,Elektrotechnik,4.267
Saarland,271,Technische Forschung und Entwicklung,6.513
Saarland,273,"Technische Produktionsplanung,-steuerung",5.371
Saarland,282,Textilverarbeitung,None
Saarland,292,Lebensmittel- u. Genussmittelherstellung,2.934
Saarland,311,"Bauplanung u. -überwachung, Architektur",5.505
Saarland,411,Mathematik und Statistik,None
Saarland,431,Informatik,5.149
Saarland,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",5.457
Saarland,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",5.351
Saarland,434,Softwareentwicklung und Programmierung,5.121
Saarland,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.994
Saarland,516,Kaufleute - Verkehr und Logistik,3.710
Saarland,521,Fahrzeugführung im Straßenverkehr,3.075
Saarland,525,Bau- und Transportgeräteführung,3.879
Saarland,541,Reinigung,2.612
Saarland,611,Einkauf und Vertrieb,5.151
Saarland,612,Handel,3.494
Saarland,621,Verkauf (ohne Produktspezialisierung),3.073
Saarland,623,Verkauf von Lebensmitteln,2.461
Saarland,632,Hotellerie,2.571
Saarland,633,Gastronomie,2.474
Saarland,634,"Veranstaltungsservice, -management",None
Saarland,711,Geschäftsführung und Vorstand,7.473
Saarland,713,Unternehmensorganisation und -strategie,5.081
Saarland,714,Büro und Sekretariat,3.618
Saarland,715,Personalwesen und -dienstleistung,5.088
Saarland,721,Versicherungs- u. Finanzdienstleistungen,5.105
Saarland,722,"Rechnungswesen, Controlling und Revision",4.721
Saarland,723,Steuerberatung,3.504
Saarland,732,Verwaltung,4.435
Saarland,733,Medien-Dokumentations-Informationsdienst,None
Saarland,811,Arzt- und Praxishilfe,2.993
Saarland,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.450
Saarland,817,Nicht ärztliche Therapie und Heilkunde,3.336
Saarland,821,Altenpflege,3.701
Saarland,822,"Ernährungs-,Gesundheitsberatung,Wellness",None
Saarland,825,"Medizin-, Orthopädie- und Rehatechnik",3.187
Saarland,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.161
Saarland,832,Hauswirtschaft und Verbraucherberatung,2.546
Saarland,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.912
Saarland,844,Lehrtätigk. außerschul.Bildungseinricht.,None
Saarland,912,Geisteswissenschaften,None
Saarland,913,Gesellschaftswissenschaften,None
Saarland,921,Werbung und Marketing,3.936
Saarland,924,Redaktion und Journalismus,None
Saarland,932,"Innenarchitektur, Raumausstattung",None
Sachsen-Anhalt,121,Gartenbau,2.735
Sachsen-Anhalt,221,"Kunststoff,Kautschukherstell.,verarbeit",2.668
Sachsen-Anhalt,231,Papier- und Verpackungstechnik,3.728
Sachsen-Anhalt,232,Technische Mediengestaltung,2.697
Sachsen-Anhalt,261,Mechatronik und Automatisierungstechnik,3.708
Sachsen-Anhalt,262,Energietechnik,3.559
Sachsen-Anhalt,263,Elektrotechnik,3.440
Sachsen-Anhalt,271,Technische Forschung und Entwicklung,4.978
Sachsen-Anhalt,273,"Technische Produktionsplanung,-steuerung",4.332
Sachsen-Anhalt,282,Textilverarbeitung,None
Sachsen-Anhalt,292,Lebensmittel- u. Genussmittelherstellung,2.708
Sachsen-Anhalt,311,"Bauplanung u. -überwachung, Architektur",4.882
Sachsen-Anhalt,411,Mathematik und Statistik,None
Sachsen-Anhalt,431,Informatik,4.264
Sachsen-Anhalt,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",4.717
Sachsen-Anhalt,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",4.998
Sachsen-Anhalt,434,Softwareentwicklung und Programmierung,4.444
Sachsen-Anhalt,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.710
Sachsen-Anhalt,516,Kaufleute - Verkehr und Logistik,3.247
Sachsen-Anhalt,521,Fahrzeugführung im Straßenverkehr,2.884
Sachsen-Anhalt,525,Bau- und Transportgeräteführung,3.145
Sachsen-Anhalt,541,Reinigung,2.419
Sachsen-Anhalt,611,Einkauf und Vertrieb,4.170
Sachsen-Anhalt,612,Handel,3.224
Sachsen-Anhalt,621,Verkauf (ohne Produktspezialisierung),2.837
Sachsen-Anhalt,623,Verkauf von Lebensmitteln,2.384
Sachsen-Anhalt,632,Hotellerie,2.474
Sachsen-Anhalt,633,Gastronomie,2.350
Sachsen-Anhalt,634,"Veranstaltungsservice, -management",None
Sachsen-Anhalt,711,Geschäftsführung und Vorstand,6.608
Sachsen-Anhalt,713,Unternehmensorganisation und -strategie,4.396
Sachsen-Anhalt,714,Büro und Sekretariat,3.207
Sachsen-Anhalt,715,Personalwesen und -dienstleistung,4.374
Sachsen-Anhalt,721,Versicherungs- u. Finanzdienstleistungen,4.890
Sachsen-Anhalt,722,"Rechnungswesen, Controlling und Revision",3.922
Sachsen-Anhalt,723,Steuerberatung,3.165
Sachsen-Anhalt,732,Verwaltung,4.273
Sachsen-Anhalt,733,Medien-Dokumentations-Informationsdienst,3.826
Sachsen-Anhalt,811,Arzt- und Praxishilfe,2.637
Sachsen-Anhalt,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.089
Sachsen-Anhalt,817,Nicht ärztliche Therapie und Heilkunde,3.086
Sachsen-Anhalt,821,Altenpflege,3.694
Sachsen-Anhalt,822,"Ernährungs-,Gesundheitsberatung,Wellness",None
Sachsen-Anhalt,825,"Medizin-, Orthopädie- und Rehatechnik",2.854
Sachsen-Anhalt,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",3.952
Sachsen-Anhalt,832,Hauswirtschaft und Verbraucherberatung,2.595
Sachsen-Anhalt,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.181
Sachsen-Anhalt,844,Lehrtätigk. außerschul.Bildungseinricht.,3.724
Sachsen-Anhalt,912,Geisteswissenschaften,None
Sachsen-Anhalt,913,Gesellschaftswissenschaften,3.507
Sachsen-Anhalt,921,Werbung und Marketing,2.743
Sachsen-Anhalt,924,Redaktion und Journalismus,4.263
Sachsen-Anhalt,932,"Innenarchitektur, Raumausstattung",None
Sachsen,121,Gartenbau,2.661
Sachsen,221,"Kunststoff,Kautschukherstell.,verarbeit",2.704
Sachsen,231,Papier- und Verpackungstechnik,2.992
Sachsen,232,Technische Mediengestaltung,2.868
Sachsen,261,Mechatronik und Automatisierungstechnik,3.643
Sachsen,262,Energietechnik,3.471
Sachsen,263,Elektrotechnik,3.719
Sachsen,271,Technische Forschung und Entwicklung,5.256
Sachsen,273,"Technische Produktionsplanung,-steuerung",4.317
Sachsen,282,Textilverarbeitung,2.400
Sachsen,292,Lebensmittel- u. Genussmittelherstellung,2.563
Sachsen,311,"Bauplanung u. -überwachung, Architektur",4.779
Sachsen,411,Mathematik und Statistik,None
Sachsen,431,Informatik,4.727
Sachsen,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",5.023
Sachsen,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",4.769
Sachsen,434,Softwareentwicklung und Programmierung,4.860
Sachsen,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.709
Sachsen,516,Kaufleute - Verkehr und Logistik,3.237
Sachsen,521,Fahrzeugführung im Straßenverkehr,2.757
Sachsen,525,Bau- und Transportgeräteführung,3.013
Sachsen,541,Reinigung,2.434
Sachsen,611,Einkauf und Vertrieb,4.363
Sachsen,612,Handel,3.277
Sachsen,621,Verkauf (ohne Produktspezialisierung),2.807
Sachsen,623,Verkauf von Lebensmitteln,2.314
Sachsen,632,Hotellerie,2.587
Sachsen,633,Gastronomie,2.381
Sachsen,634,"Veranstaltungsservice, -management",3.266
Sachsen,711,Geschäftsführung und Vorstand,6.541
Sachsen,713,Unternehmensorganisation und -strategie,4.735
Sachsen,714,Büro und Sekretariat,3.380
Sachsen,715,Personalwesen und -dienstleistung,4.395
Sachsen,721,Versicherungs- u. Finanzdienstleistungen,5.120
Sachsen,722,"Rechnungswesen, Controlling und Revision",3.978
Sachsen,723,Steuerberatung,3.302
Sachsen,732,Verwaltung,4.271
Sachsen,733,Medien-Dokumentations-Informationsdienst,3.763
Sachsen,811,Arzt- und Praxishilfe,2.632
Sachsen,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",3.993
Sachsen,817,Nicht ärztliche Therapie und Heilkunde,2.953
Sachsen,821,Altenpflege,3.696
Sachsen,822,"Ernährungs-,Gesundheitsberatung,Wellness",4.385
Sachsen,825,"Medizin-, Orthopädie- und Rehatechnik",2.811
Sachsen,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",3.958
Sachsen,832,Hauswirtschaft und Verbraucherberatung,2.517
Sachsen,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.686
Sachsen,844,Lehrtätigk. außerschul.Bildungseinricht.,3.709
Sachsen,912,Geisteswissenschaften,None
Sachsen,913,Gesellschaftswissenschaften,3.539
Sachsen,921,Werbung und Marketing,3.536
Sachsen,924,Redaktion und Journalismus,4.137
Sachsen,932,"Innenarchitektur, Raumausstattung",2.669
Schleswig-Holstein,121,Gartenbau,3.053
Schleswig-Holstein,221,"Kunststoff,Kautschukherstell.,verarbeit",3.008
Schleswig-Holstein,231,Papier- und Verpackungstechnik,3.592
Schleswig-Holstein,232,Technische Mediengestaltung,3.488
Schleswig-Holstein,261,Mechatronik und Automatisierungstechnik,4.271
Schleswig-Holstein,262,Energietechnik,4.121
Schleswig-Holstein,263,Elektrotechnik,4.140
Schleswig-Holstein,271,Technische Forschung und Entwicklung,6.558
Schleswig-Holstein,273,"Technische Produktionsplanung,-steuerung",5.288
Schleswig-Holstein,282,Textilverarbeitung,2.803
Schleswig-Holstein,292,Lebensmittel- u. Genussmittelherstellung,3.071
Schleswig-Holstein,311,"Bauplanung u. -überwachung, Architektur",5.308
Schleswig-Holstein,411,Mathematik und Statistik,None
Schleswig-Holstein,431,Informatik,4.824
Schleswig-Holstein,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",5.412
Schleswig-Holstein,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",5.401
Schleswig-Holstein,434,Softwareentwicklung und Programmierung,5.518
Schleswig-Holstein,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.947
Schleswig-Holstein,516,Kaufleute - Verkehr und Logistik,3.926
Schleswig-Holstein,521,Fahrzeugführung im Straßenverkehr,3.057
Schleswig-Holstein,525,Bau- und Transportgeräteführung,3.598
Schleswig-Holstein,541,Reinigung,2.507
Schleswig-Holstein,611,Einkauf und Vertrieb,5.053
Schleswig-Holstein,612,Handel,3.786
Schleswig-Holstein,621,Verkauf (ohne Produktspezialisierung),2.972
Schleswig-Holstein,623,Verkauf von Lebensmitteln,2.488
Schleswig-Holstein,632,Hotellerie,2.758
Schleswig-Holstein,633,Gastronomie,2.575
Schleswig-Holstein,634,"Veranstaltungsservice, -management",None
Schleswig-Holstein,711,Geschäftsführung und Vorstand,7.454
Schleswig-Holstein,713,Unternehmensorganisation und -strategie,4.908
Schleswig-Holstein,714,Büro und Sekretariat,3.531
Schleswig-Holstein,715,Personalwesen und -dienstleistung,4.994
Schleswig-Holstein,721,Versicherungs- u. Finanzdienstleistungen,5.359
Schleswig-Holstein,722,"Rechnungswesen, Controlling und Revision",4.578
Schleswig-Holstein,723,Steuerberatung,3.697
Schleswig-Holstein,732,Verwaltung,4.412
Schleswig-Holstein,733,Medien-Dokumentations-Informationsdienst,4.386
Schleswig-Holstein,811,Arzt- und Praxishilfe,2.982
Schleswig-Holstein,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.270
Schleswig-Holstein,817,Nicht ärztliche Therapie und Heilkunde,3.375
Schleswig-Holstein,821,Altenpflege,3.598
Schleswig-Holstein,822,"Ernährungs-,Gesundheitsberatung,Wellness",None
Schleswig-Holstein,825,"Medizin-, Orthopädie- und Rehatechnik",3.266
Schleswig-Holstein,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.068
Schleswig-Holstein,832,Hauswirtschaft und Verbraucherberatung,2.699
Schleswig-Holstein,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.778
Schleswig-Holstein,844,Lehrtätigk. außerschul.Bildungseinricht.,4.563
Schleswig-Holstein,912,Geisteswissenschaften,None
Schleswig-Holstein,913,Gesellschaftswissenschaften,4.321
Schleswig-Holstein,921,Werbung und Marketing,4.524
Schleswig-Holstein,924,Redaktion und Journalismus,4.788
Schleswig-Holstein,932,"Innenarchitektur, Raumausstattung",None
Thüringen,121,Gartenbau,2.878
Thüringen,221,"Kunststoff,Kautschukherstell.,verarbeit",2.786
Thüringen,231,Papier- und Verpackungstechnik,3.136
Thüringen,232,Technische Mediengestaltung,2.859
Thüringen,261,Mechatronik und Automatisierungstechnik,3.633
Thüringen,262,Energietechnik,3.474
Thüringen,263,Elektrotechnik,3.306
Thüringen,271,Technische Forschung und Entwicklung,5.338
Thüringen,273,"Technische Produktionsplanung,-steuerung",4.242
Thüringen,282,Textilverarbeitung,2.413
Thüringen,292,Lebensmittel- u. Genussmittelherstellung,2.736
Thüringen,311,"Bauplanung u. -überwachung, Architektur",4.781
Thüringen,411,Mathematik und Statistik,None
Thüringen,431,Informatik,4.243
Thüringen,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",4.331
Thüringen,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",4.979
Thüringen,434,Softwareentwicklung und Programmierung,4.729
Thüringen,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.659
Thüringen,516,Kaufleute - Verkehr und Logistik,3.263
Thüringen,521,Fahrzeugführung im Straßenverkehr,2.866
Thüringen,525,Bau- und Transportgeräteführung,3.184
Thüringen,541,Reinigung,2.398
Thüringen,611,Einkauf und Vertrieb,4.275
Thüringen,612,Handel,3.350
Thüringen,621,Verkauf (ohne Produktspezialisierung),2.681
Thüringen,623,Verkauf von Lebensmitteln,2.293
Thüringen,632,Hotellerie,2.293
Thüringen,633,Gastronomie,2.407
Thüringen,634,"Veranstaltungsservice, -management",None
Thüringen,711,Geschäftsführung und Vorstand,6.716
Thüringen,713,Unternehmensorganisation und -strategie,4.335
Thüringen,714,Büro und Sekretariat,3.200
Thüringen,715,Personalwesen und -dienstleistung,4.406
Thüringen,721,Versicherungs- u. Finanzdienstleistungen,4.672
Thüringen,722,"Rechnungswesen, Controlling und Revision",3.963
Thüringen,723,Steuerberatung,3.131
Thüringen,732,Verwaltung,4.184
Thüringen,733,Medien-Dokumentations-Informationsdienst,3.762
Thüringen,811,Arzt- und Praxishilfe,2.632
Thüringen,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.056
Thüringen,817,Nicht ärztliche Therapie und Heilkunde,2.949
Thüringen,821,Altenpflege,3.789
Thüringen,822,"Ernährungs-,Gesundheitsberatung,Wellness",None
Thüringen,825,"Medizin-, Orthopädie- und Rehatechnik",2.940
Thüringen,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",3.953
Thüringen,832,Hauswirtschaft und Verbraucherberatung,2.501
Thüringen,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.236
Thüringen,844,Lehrtätigk. außerschul.Bildungseinricht.,3.823
Thüringen,912,Geisteswissenschaften,None
Thüringen,913,Gesellschaftswissenschaften,3.759
Thüringen,921,Werbung und Marketing,3.508
Thüringen,924,Redaktion und Journalismus,4.419
Thüringen,932,"Innenarchitektur, Raumausstattung",None
