id,titel,beruf,arbeitgeber,eintrittsdatum,aktuelleVeroeffentlichungsdatum,ort,region,plz,land
10001-1002864743-S,Stellvertretender Leiter Logistik (m/w/d),Leiter/in - Logistik,BayWa AG HR Services,2026-05-01,2026-04-01,Kressbronn am Bodensee,Baden-Württemberg,88079,Deutschland
10001-1002870066-S,Fachkraft Logistik (m/w/d) gesucht,Fachkraft - Logistik/Materialwirtschaft,IMC GmbH,2026-04-02,2026-04-02,Trittau,Schleswig-Holstein,22946,Deutschland
11852-935289781-S,Sachbearbeiter Logistik (m/w/d),Sachbearbeiter/in - Logistik,TimePartner Personalmanagement GmbH,2026-03-27,2026-03-25,"Salem, Baden",Baden-Württemberg,88682,Deutschland
10000-1205891427-S,Leiter Logistik (m/w/d),Leiter/in - Logistik,HYDROPHON Kunststofftechnik GmbH,2026-03-19,2026-03-19,Kirchhundem,Nordrhein-Westfalen,57399,Deutschland
12513-0007632963-S,Leiter Logistik (m/w/d),Leiter/in - Logistik,AGC INTERPANE GmbH Löwenberger Land,2026-04-01,2026-03-25,Löwenberger Land,Brandenburg,16775,Deutschland
14751-206A13066-S,Leiter - Logistik (m/w/d),Leiter/in - Logistik,TTI Personaldienstleistung GmbH - Pritzwalk,2026-03-25,2026-03-25,Havelberg,Sachsen-Anhalt,39539,Deutschland
15937-k55805.113367-S,Fachlagerist Logistik (m/w/d),Logistiker/in,Neo Temp GmbH,2026-03-30,2026-03-29,Kölleda,Thüringen,99625,Deutschland
14927-1layziegpke-S,Werkstudent (m/w/d) Logistik,Betriebswirt/in (Hochschule) - Logistik,dennree GmbH,2026-03-28,2026-03-28,Töpen,Bayern,95183,Deutschland
12608-1386947-28738-1-S,Teamleiter Logistik (m/w/d),Leiter/in - Logistik,toom Baumarkt GmbH,2026-03-27,2026-03-19,Hamburg,Hamburg,22047,Deutschland
13319-861416/1_603474LS-S,Logistik-Mitarbeiter (m/w/d),Assistent/in - Logistik,Hays Professional Solutions GmbH,2026-03-23,2026-03-23,Schwarzenbek,Schleswig-Holstein,21493,Deutschland
11858-16208001-STA-S,Nachwuchsführungskraft Logistik (m/w/d),Leiter/in - Logistik,Kaufland Dienstleistung GmbH & Co. KG,2026-03-23,2026-03-23,Barsinghausen,Niedersachsen,30890,Deutschland
11119-4761006149-S,Kundenbetreuer (m/w/d) Logistik,Sachbearbeiter/in - Logistik,DEKRA Arbeit GmbH,2026-04-02,2026-03-27,Kornwestheim,Baden-Württemberg,70806,Deutschland
10001-1002826464-S,Logistik- und Versandmitarbeiter (m/w/d),Logistiker/in,EMPL Fahrzeugwerk GmbH Deutsch land,2026-03-30,2026-03-25,Zahna-Elster,Sachsen-Anhalt,06895,Deutschland
10001-1002756289-S,Leiter Logistik (m/w/d),Leiter/in - Logistik,WOLFFKRAN Werk Brandenburg GmbH,2026-03-16,2026-03-12,"Luckau, Niederlausitz",Brandenburg,15926,Deutschland
13414-UX5VQM249VBHBBW1-S,Sachbearbeiter Logistik & Versand (m/w/d),Sachbearbeiter/in - Logistik,teamkompetent GmbH Personaldienstleistungen,2026-04-01,2026-04-01,Saalburg-Ebersdorf,Thüringen,07929,Deutschland
14757-20260326_2910002850-S,Sachbearbeiter/in - Logistik (m/w/d),Sachbearbeiter/in - Logistik,Elmlinger Personalservice / Jobvermittlung Deutschland,2026-04-09,2026-03-26,Berlin,Berlin,12349,Deutschland
12117-28844579-YF-S,Teamleiter Lager & Logistik (m/w/d),Leiter/in - Logistik,Harema GmbH Reinigungsmarkt,2026-04-01,2026-04-01,St. Egidien,Sachsen,09356,Deutschland
12117-28688213-YF-S,Teamleitung Lager und Logistik (m/w/d),Leiter/in - Logistik,Schoeller Allibert GmbH,2026-04-01,2026-04-01,Daiting,Bayern,86653,Deutschland
14960-0060825417-S,Gruppenleiter Logistik (m/w/x),Fachkraft - Logistik/Materialwirtschaft,Reichhart Logistik GmbH,2026-03-09,2026-02-20,Pliening,Bayern,85652,Deutschland
12384-934440796-S,Teamleiter Logistik (m/w/d),Fachkraft - Logistik/Materialwirtschaft,Actief Personalmanagement GmbH,2026-03-20,2026-03-20,"Lich, Hessen",Hessen,35423,Deutschland
10001-1002787575-S,Schichtleiter (m/w/d) in der Logistik,Schichtführer/in,Lemförder Logistik GmbH Damme-Verw,2026-03-30,2026-03-18,Saarbrücken,Saarland,66117,Deutschland
11119-4767084919-S,Fachkraft - Logistik / Materialwirtschaft (m/w/d),Fachkraft - Logistik/Materialwirtschaft,DEKRA Arbeit GmbH,2026-04-03,2026-04-02,Donauwörth,Bayern,86609,Deutschland
18026-0063647219-S,Mitarbeiter (m/w/d) Logistik,Fachkraft - Logistik/Materialwirtschaft,PohlCon GmbH,2026-03-24,2026-03-20,Lüneburg,Niedersachsen,21337,Deutschland
10001-1002859901-S,Mitarbeiter Logistik (m/w/d),Fachkraft - Lagerlogistik,CarboLife technologies GmbH & Co. KG,2026-04-01,2026-03-31,Dresden,Sachsen,01099,Deutschland
12633-c5884cc6_JB5086224-S,Leiter Logistik (m/w/d),Leiter/in - Logistik,DIS AG Ulm,2026-04-02,2026-03-05,Blaubeuren,Baden-Württemberg,89143,Deutschland
11119-4759840681-S,Sachbearbeiter Logistik (m/w/d),Sachbearbeiter/in - Logistik,Randstad Deutschland,2026-04-01,2026-03-25,"Nauen, Havelland",Brandenburg,14641,Deutschland
13643-603940LS-S,Controller Logistik (w/m/d),Fachkraft - Logistik/Materialwirtschaft,Michael Page GmbH,2026-03-25,2026-03-25,Unbekannt,Unbekannt,Unbekannt,Deutschland
10001-1002824827-S,Sachbearbeiter Logistik (m/w/d),Sachbearbeiter/in - Logistik,Randstad Deutschland GmbH & Co. KG,2026-03-25,2026-03-25,Mönchengladbach,Nordrhein-Westfalen,41189,Deutschland
